Noms;CI;paper;SMILE;apol;ast_fraglike;ast_fraglike_ext;ast_violation;ast_violation_ext;a_acc;a_acid;a_aro;a_base;a_count;a_don;a_donacc;a_heavy;a_hyd;a_IC;a_ICM;a_nB;a_nBr;a_nC;a_nCl;a_nF;a_nH;a_nI;a_nN;a_nO;a_nP;a_nS;balabanJ;BCUT_PEOE_0;BCUT_PEOE_1;BCUT_PEOE_2;BCUT_PEOE_3;BCUT_SLOGP_0;BCUT_SLOGP_1;BCUT_SLOGP_2;BCUT_SLOGP_3;BCUT_SMR_0;BCUT_SMR_1;BCUT_SMR_2;BCUT_SMR_3;bpol;b_1rotN;b_1rotR;b_ar;b_count;b_double;b_heavy;b_max1len;b_rotN;b_rotR;b_single;b_triple;chi0;chi0v;chi0v_C;chi0_C;chi1;chi1v;chi1v_C;chi1_C;chiral;chiral_u;density;diameter;FCharge;GCUT_PEOE_0;GCUT_PEOE_1;GCUT_PEOE_2;GCUT_PEOE_3;GCUT_SLOGP_0;GCUT_SLOGP_1;GCUT_SLOGP_2;GCUT_SLOGP_3;GCUT_SMR_0;GCUT_SMR_1;GCUT_SMR_2;GCUT_SMR_3;Kier1;Kier2;Kier3;KierA1;KierA2;KierA3;KierFlex;lip_acc;lip_don;lip_druglike;lip_violation;logP(o/w);logS;mr;mutagenic;nmol;opr_brigid;opr_leadlike;opr_nring;opr_nrot;opr_violation;PC+;PC-;PEOE_PC+;PEOE_PC-;PEOE_RPC+;PEOE_RPC-;PEOE_VSA+0;PEOE_VSA+1;PEOE_VSA+2;PEOE_VSA+3;PEOE_VSA+4;PEOE_VSA+5;PEOE_VSA+6;PEOE_VSA-0;PEOE_VSA-1;PEOE_VSA-2;PEOE_VSA-3;PEOE_VSA-4;PEOE_VSA-5;PEOE_VSA-6;PEOE_VSA_FHYD;PEOE_VSA_FNEG;PEOE_VSA_FPNEG;PEOE_VSA_FPOL;PEOE_VSA_FPOS;PEOE_VSA_FPPOS;PEOE_VSA_HYD;PEOE_VSA_NEG;PEOE_VSA_PNEG;PEOE_VSA_POL;PEOE_VSA_POS;PEOE_VSA_PPOS;petitjean;petitjeanSC;Q_PC+;Q_PC-;Q_RPC+;Q_RPC-;Q_VSA_FHYD;Q_VSA_FNEG;Q_VSA_FPNEG;Q_VSA_FPOL;Q_VSA_FPOS;Q_VSA_FPPOS;Q_VSA_HYD;Q_VSA_NEG;Q_VSA_PNEG;Q_VSA_POL;Q_VSA_POS;Q_VSA_PPOS;radius;reactive;rings;RPC+;RPC-;rsynth;SlogP;SlogP_VSA0;SlogP_VSA1;SlogP_VSA2;SlogP_VSA3;SlogP_VSA4;SlogP_VSA5;SlogP_VSA6;SlogP_VSA7;SlogP_VSA8;SlogP_VSA9;SMR;SMR_VSA0;SMR_VSA1;SMR_VSA2;SMR_VSA3;SMR_VSA4;SMR_VSA5;SMR_VSA6;SMR_VSA7;TPSA;VAdjEq;VAdjMa;VDistEq;VDistMa;vdw_area;vdw_vol;vsa_acc;vsa_acid;vsa_base;vsa_don;vsa_hyd;vsa_other;vsa_pol;Weight;weinerPath;weinerPol;zagreb
Bisheteroypiperazine ;0.72000003;3;O(C)c1cc2cc([nH]c2cc1)C(=O)N1CCN(CC1)c1ncccc1NCC;60.733826;0;0;1;2;3;0;15;0;53;2;5;28;19;81.635071;1.5402844;0;0;21;0;0;25;0;5;2;0;0;1.2690438;-2.7131066;-0.5593555;0.57684499;2.6442473;-2.8558159;-0.49557349;0.68035811;2.535804;-2.4234798;-0.38863939;0.73781079;2.9276714;36.804176;6;0.19354838;16;56;1;31;2;6;0.19354838;39;0;19.509861;16.235123;13.076985;14.526733;13.690203;9.5918131;5.4778328;7.0648446;0;0;0.78734416;16;0;-0.84605783;-0.42429781;0.034734476;2.7178862;-0.99039578;-0.32881624;0.13525872;2.7486191;-0.50831074;-0.19207267;0.1560774;2.9995;21.240376;9.8712816;4.8549266;15.282032;7.0086946;3.4146237;3.8252535;7;2;1;0;1.9349999;-2.9656;10.844971;0;1;22;1;4;7;0;0;0;1.8004496;-1.8004496;0.15263738;0.18200095;126.46796;42.157127;119.38764;35.658428;0;12.949531;0;0;0;0;5.6825762;11.365152;13.566921;2.503756;0.89077336;0.089572363;0.074203216;0.10922664;0.91042763;0.035023428;329.35373;33.118404;27.435829;40.385361;336.6207;12.949531;0.5;1;0;0;0;0;1;0;0;0;1;0;369.73911;0;0;0;369.73911;0;8;0;4;0;0;1;2.9656999;14.124202;43.179379;16.78553;92.197891;26.618963;35.383869;0;127.79057;0;43.65411;11.13679;23.862217;30.909731;19.909843;8.0001755;27.812519;123.07346;97.456673;68.709885;73.489998;0.39893496;5.9541965;3.7190073;9.2882967;369.73911;449.94809;21.753254;0;0;11.365152;312.48059;24.140093;33.118404;379.46399;2266;45;148
Bupivacaine;0.73000002;2;O=C(Nc1c(cccc1C)C)C1[NH+](CCCC1)CCCC;54.018997;1;0;0;1;1;0;6;1;50;1;2;21;17;64.252708;1.2850542;0;0;18;0;0;29;0;2;1;0;0;1.9147912;-2.8123705;-0.38922822;0.48945171;2.8162127;-3.5084012;-0.38292715;0.45786273;2.7062478;-2.6098289;-0.2829622;0.57714409;3.013706;34.641003;5;0.22727273;6;51;1;22;4;6;0.27272728;44;0;15.242276;13.667397;12.259149;12.957819;10.130229;8.3479528;6.648047;7.5865521;1;1;0.72293788;11;1;-0.87087321;-0.30667597;0.056772377;2.878252;-2.2599759;-0.26649007;0.09425389;2.8261464;-0.62923604;-0.18330559;0.1228514;3.0773175;17.355371;8.5850182;4.7333822;14.345784;7.0242829;3.8426201;4.7985163;3;2;1;0;4.0320001;-3.5797601;8.8432302;0;1;12;1;2;7;0;0;0;1.5983546;-0.59835458;0.2008218;0.44024998;119.84234;54.125034;0;0;0;40.59901;19.649082;51.842564;0;0;0;5.6825762;13.566921;0;0.73961473;0.23285393;0.063049532;0.2603853;0.76714605;0.19733576;225.80994;71.092056;19.249496;79.497589;234.21547;60.248093;0.45454547;0.83333331;0;0;0;0;1;0;0;0;1;0;305.30753;0;0;0;305.30753;0;6;0;2;0;0;1;2.47944;3.1243138;23.269535;27.844185;36.879158;6.37115;0;0;52.929554;94.342026;102.73479;8.7789402;26.98653;0;0;10.353119;20.767498;147.27158;42.137939;99.978043;33.540001;0.46827638;5.4594316;3.2073617;8.4986582;305.30753;359.93549;13.566921;0;0;5.6825762;273.10849;12.949531;19.249496;289.44299;958;31;102
Buprenorphine ;0.28999999;3;O1C2C34C5(CC(C(O)(C(C)(C)C)C)C2(OC)CC5)C([NH+](CC3)CC2CC2)Cc2c4c1c(O)cc2;83.35331;0;0;2;3;4;0;6;1;76;2;6;34;29;99.483711;1.3089962;0;0;29;0;0;42;0;1;4;0;0;1.4184848;-3.0153396;-0.38144428;0.49256015;3.0633402;-3.5245352;-0.34896421;0.4728331;3.0101974;-2.79689;-0.2271966;0.64102817;3.2827082;51.066692;4;0.1;6;82;0;40;3;5;0.125;76;0;23.88854;21.538986;19.328062;19.896976;16.016588;13.658262;11.163068;11.912251;7;7;0.78982693;10;1;-0.88050938;-0.35034984;-0.045857258;3.6896203;-2.2602122;-0.30693623;-0.037;3.6737821;-0.63080239;-0.19033474;0.092001937;3.8958623;23.141251;6.8963265;2.4860208;21.55414;6.4090734;2.3067651;4.0630021;5;3;1;0;4.8249998;-4.1730299;12.970335;0;1;28;0;7;5;2;0;0;2.2359028;-1.2359029;0.12856826;0.28593051;214.6933;36.034069;16.917038;44.116947;6.6995511;40.59901;0;18.017035;0;0;13.566921;13.566921;0;5.0075121;0.83902723;0.12257122;0.045390032;0.16097274;0.87742877;0.11558271;343.34531;50.15839;18.574432;65.872993;359.05994;47.298565;0.5;1;0;0;0;0;1;0;0;0;1;0;409.21832;0;0;0;409.21832;0;5;0;7;0;0;0;2.99667;64.894653;0;21.450506;36.879158;15.192742;54.252274;0;35.286369;113.21043;143.79091;12.93233;14.124202;61.77034;8.8215923;27.308624;0;167.3652;36.879158;168.68793;63.360001;0.36294666;6.321928;3.1431215;9.9545603;409.21832;539.76636;5.0075121;0;0;0;377.07697;0;32.141354;468.65799;2624;86;220
Cefoperazone ;0.039999999;3;S1C2N(C(=O)C2NC(=O)C(NC(=O)N2CCN(CC)C(=O)C2=O)c2ccc(O)cc2)C(C(=O)[O-])=C(C1)CSc1nnnn1C;83.452621;0;0;2;4;9;2;11;0;70;3;12;44;20;136.21265;1.945895;0;0;25;0;0;26;0;9;8;0;2;1.228333;-2.6960526;-0.57995152;0.45422569;2.732599;-2.9002364;-0.53807992;0.46067581;2.6227577;-2.4045174;-0.33455646;0.67225164;3.021456;48.929382;10;0.20833333;11;74;7;48;3;12;0.25;56;0;31.706013;24.961922;15.076985;16.446865;21.010147;15.285639;5.6849394;6.9899297;3;3;0.94855386;20;-1;-0.8424657;-0.4883334;0.069132499;2.8112776;-1.4899809;-0.41690442;0.090575546;2.7650614;-0.52897757;-0.22510025;0.19305076;3.0865619;35.310764;15.48;7.6866832;27.42627;11.94875;5.9075751;7.4479461;17;3;0;2;-1.533;-5.3429899;15.604913;0;1;26;0;5;9;3;0;0;3.4117076;-4.4117079;0.10227847;0.12310857;94.850967;56.977161;69.35704;42.575073;26.565727;25.899061;43.339603;28.527546;19.760618;29.181658;13.566921;24.932074;54.267685;27.133842;0.63705277;0.35438669;0.19092642;0.3629472;0.64561331;0.17202079;354.797;197.37035;106.3336;202.13799;359.56464;95.80439;0.5;1;0;0;0;0;1;0;0;0;1;0;556.935;0;0;0;556.935;0;10;0;5;0;0;1;-1.992;104.09007;88.222588;125.64017;89.785866;3.185575;6.6354017;0;70.572739;3.9819686;159.76793;15.03182;185.85664;86.278717;36.714581;24.68239;0;70.572739;117.11496;130.66228;223.09;0.284639;6.5849624;4.0698586;10.638547;556.935;652.00513;130.7085;27.133842;0;11.365152;304.18063;97.113792;155.64056;644.66998;7383;75;236
Cefpirome ;0.2;3;s1cc(nc1N)C(=NOC)C(=O)NC1C2SCC(C[n+]3c4CCCc4ccc3)=C(N2C1=O)C(=O)[O-];69.799446;0;0;2;4;4;2;11;1;57;2;6;35;19;107.14033;1.8796548;0;0;22;0;0;22;0;6;5;0;2;1.2185332;-2.6867561;-0.57720494;0.5870946;2.7345576;-2.8953385;-0.59601933;0.60033393;2.6575398;-2.4017172;-0.35176983;0.78521055;3.016886;39.638554;7;0.17948718;11;61;5;39;2;8;0.20512821;45;0;24.689505;20.356571;12.999636;14.292164;16.884249;12.831786;5.5302391;6.7828231;2;2;0.92002994;16;0;-0.82967997;-0.45429191;0.064077832;2.7942171;-1.4900181;-0.40223807;0.10080343;2.7627337;-0.55516487;-0.21739471;0.25399661;3.0449433;26.60092;11.396122;5.3065081;21.503117;9.1513453;4.2408514;5.6223555;11;3;0;2;1.419;-4.4886098;13.085366;1;1;25;0;5;7;3;0;0;3.1438885;-3.1438885;0.11062659;0.1727531;49.634022;92.884308;0;41.835335;42.357979;46.198566;20.299505;17.784555;17.742489;30.64588;0;17.267511;27.133842;27.133842;0.581379;0.31956932;0.16600658;0.41862097;0.68043071;0.25261441;250.5266;137.70811;71.535194;180.39125;293.20972;108.85606;0.5;1;0;0;0;0;1;0;0;0;1;0;430.91785;0;0;0;430.91785;0;8;1;5;0;0;0.60000002;-0.77756;95.490372;34.648167;89.134506;17.233564;8.69907;98.46286;0;68.316734;18.868406;82.437553;12.59961;127.38785;39.309704;18.01075;20.97049;0.50074643;176.25871;31.971888;98.881096;153.92;0.34185782;6.2854023;3.8088951;9.9651709;430.91785;535.21191;70.835518;27.133842;0;23.425066;270.28116;66.376099;94.26059;514.58698;3906;57;192
Ceftizoxime ;0.12;3;s1cc(nc1N)C(=NOC)C(=O)NC1C2SCC=C(N2C1=O)C(=O)[O-];46.191517;0;0;2;4;4;2;5;0;37;2;6;25;10;76.405228;2.0650063;0;0;13;0;0;12;0;5;5;0;2;1.6102258;-2.6820047;-0.56641322;0.63849288;2.7209907;-2.8926542;-0.6086002;0.63361382;2.5937462;-2.3914065;-0.38320473;0.93641543;3.0074668;26.726484;5;0.18518518;5;39;5;27;1;6;0.22222222;29;0;18.137465;14.42623;7.5165076;8.3174725;11.934759;8.8611202;2.3576071;2.9831634;2;2;1.0021749;12;-1;-0.83037448;-0.520832;0.078832388;2.4617403;-1.4898667;-0.4282864;0.12016232;2.4013093;-0.52844012;-0.21712244;0.32503471;2.7641661;19.753086;8.3471403;3.9835391;16.255177;6.8098564;3.2288749;4.4278169;10;3;1;0;-0.40200001;-3.4996099;8.9879141;1;1;15;1;3;5;1;0;0;1.9789881;-2.9789879;0.14995731;0.18231332;15.808495;59.058781;0;35.13578;42.357979;25.899061;0;17.784555;17.742489;30.64588;0;17.267511;27.133842;27.133842;0.55757499;0.43582901;0.22639997;0.44242498;0.56417096;0.21602502;176.17598;137.70811;71.535194;139.79224;178.2601;68.257042;0.5;1;0;0;0;0;1;0;0;0;1;0;315.96823;0;0;0;315.96823;0;6;1;3;0;0;1;-1.8904999;93.591278;34.648167;89.134506;17.233564;2.7567475;57.540478;0;33.459194;0;63.997974;8.8186102;125.48875;39.309704;18.01075;11.842591;0.50074643;66.356384;31.971888;98.881096;150.03999;0.42433795;5.7548876;3.3891559;9.0021448;315.96823;369.50137;70.835518;27.133842;0;23.425066;155.33154;66.376099;94.26059;382.401;1531;38;132
Chloroprocaine ;0.82999998;3;Clc1cc(N)ccc1C(OCC[NH+](CC)CC)=O;42.19986;1;0;0;1;1;0;6;1;38;1;2;18;13;60.876968;1.6020255;0;0;13;1;0;20;0;2;2;0;0;2.2619238;-2.7137604;-0.390836;0.4999634;2.682653;-3.4917562;-0.27185699;0.43692055;2.4166977;-2.5162554;-0.25254235;0.54377007;2.8687134;25.81814;6;0.33333334;6;38;1;18;5;7;0.3888889;31;0;13.543606;11.588218;8.5604782;9.2591486;8.5789175;6.5154529;3.9022474;4.7138734;0;0;0.83228093;11;1;-0.88054144;-0.35376719;0.028796857;2.5297146;-2.2596192;-0.20422943;0.12371764;2.4422891;-0.62938696;-0.14870211;0.10794688;2.7190294;16.055555;8.2268429;5.2674899;13.946888;7.0833755;4.5057173;5.4883914;4;3;1;0;2.3610001;-2.7497001;7.4363141;1;1;6;1;1;6;0;0;0;1.8458315;-0.84583151;0.1734947;0.34405881;47.425484;72.244736;0;0;22.058474;55.30751;20.299505;0;29.581947;17.742489;0;0;16.070677;0;0.59485686;0.2258217;0.057245858;0.40514314;0.77417827;0.34789729;166.99466;63.395115;16.070677;113.73617;217.33571;97.665489;0.45454547;0.83333331;0;0;0;0;1;0;0;0;1;0;280.73083;0;0;0;280.73083;0;6;0;1;0;0;1;1.0037;36.0215;7.7454643;10.999887;76.244995;27.047791;0;3.5006065;52.929554;0;108.55742;7.30586;37.98642;0;0;6.6861815;2.7567475;85.826744;83.990456;105.80067;56.759998;0.50325835;5.1699252;3.2584417;8.0097723;280.73083;302.31137;13.566921;0;0;17.742489;232.20917;17.212255;31.30941;271.76801;700;24;82
Cimetidine ;0.30000001;3;S(Cc1nc[nH]c1C)CCNC(NC#N)=NC;37.768688;0;0;2;3;4;0;5;0;33;4;8;17;8;53.73595;1.6283622;0;0;10;0;0;16;0;6;0;0;1;1.967487;-2.5102813;-0.39110601;0.40250862;2.4634728;-2.6965504;-0.29995275;0.44334081;2.5565505;-2.2010956;-0.15337403;0.5574261;2.7893417;25.051311;5;0.29411766;5;33;1;17;5;8;0.47058824;26;1;12.510225;10.765057;6.6986704;7.2675848;8.2743874;6.3540654;1.6035534;1.8189319;0;0;0.84506965;11;0;-0.84597355;-0.3648968;0.065612294;2.2865822;-1.1815736;-0.30178493;0.15411866;2.3460841;-0.49558932;-0.15069592;0.22129057;2.582339;15.058824;9;5.9281664;11.622291;6.8240614;4.4316249;4.6653662;6;3;1;0;-0.278;-1.9627399;6.9214559;0;1;6;1;1;8;0;0;0;1.3577837;-1.3577837;0.18624267;0.17305216;0;60.59211;38.084061;58.68998;24.790518;15.681574;0;0;0;25.443193;17.742489;22.730305;0;0;0.76037389;0.24991444;0.086179867;0.23962609;0.75008559;0.15344623;200.55183;65.915985;22.730305;63.202396;197.83824;40.472092;0.45454547;0.83333331;0;0;0;0;1;0;0;0;1;0;263.75424;0;0;0;263.75424;0;6;0;1;0;0;1;0.86380398;36.0215;18.684622;16.78553;82.905418;5.513495;49.682716;0;16.78553;0;82.779121;6.98031;0;64.630417;52.80703;21.686415;0;34.019093;37.572235;98.442741;88.889999;0.52255934;5.0874629;3.3448591;7.8187537;263.75424;279.5249;23.425066;0;0;11.365152;152.33624;65.262611;46.155369;252.34599;664;18;74
Clavulanic_acid ;0.059999999;3;O1C2N(C(C(=O)[O-])C1=CCO)C(=O)C2;24.524343;1;1;0;0;3;2;0;0;22;1;4;14;5;38.497856;1.7499025;0;0;8;0;0;8;0;1;5;0;0;2.0666637;-2.589081;-0.64331782;0.66093463;2.7389863;-2.7607493;-0.69973874;0.56863099;2.6145556;-2.3479862;-0.50324506;0.80968952;2.9803674;15.515656;2;0.13333334;0;23;3;15;2;2;0.13333334;20;0;10.292529;7.1736846;4.6462646;5.0080719;6.6470656;4.1445065;2.0360754;2.3914115;2;2;0.97903311;7;-1;-0.83908367;-0.51329452;0.08278273;2.3154504;-1.4898666;-0.47881594;0.019083738;2.2375965;-0.54996324;-0.25109485;0.2272373;2.5639882;10.515555;3.8677685;1.648283;8.2593479;2.9761996;1.2484899;1.7558191;6;1;1;0;-1.072;-0.36342999;4.3865004;0;1;9;1;2;2;0;0;0;1.1821038;-2.1821036;0.2033143;0.25060827;15.808495;23.167019;15.808495;6.6995511;47.957535;0;0;0;0;0;0;13.566921;13.566921;29.637598;0.36990929;0.34155932;0.34155932;0.63009071;0.65844071;0.28853139;61.483559;56.771439;56.771439;104.72897;109.44109;47.957535;0.42857143;0.75;0;0;0;0;1;0;0;0;1;0;166.21254;0;0;0;166.21254;0;4;1;2;0;0;1;-2.4303;68.068573;9.847106;68.746109;20.926258;0;5.2434282;0;17.643185;18.868406;0;4.0299802;101.40766;28.509541;0;15.265219;0;36.511589;27.64905;0;89.900002;0.61744827;4.9068904;2.5397468;7.3342605;166.21254;194.16095;43.204517;27.133842;0;0;68.833534;40.607563;56.771439;198.15399;285;19;74
Cocaethylene ;0.77999997;3;O(C(=O)c1ccccc1)C1CC2[NH+](C(CC2)C1C(OCC)=O)C;51.991032;0;0;1;2;2;0;6;1;47;0;2;23;16;67.967926;1.4461261;0;0;18;0;0;24;0;1;4;0;0;1.675401;-2.7696493;-0.5128662;0.62118596;2.9458888;-3.4913757;-0.49720827;0.62589103;2.7852435;-2.578944;-0.40796649;0.694686;3.1326673;33.30497;4;0.16;6;49;2;25;2;6;0.23999999;41;0;16.396976;13.657573;11.52458;12.405413;11.113392;8.3743496;5.9561253;6.9899297;4;4;0.799586;11;1;-0.88314408;-0.3711586;0.07302352;2.9724555;-2.2587729;-0.27821112;0.13241875;2.8654191;-0.63359982;-0.20553564;0.14731865;3.1502023;17.811199;7.9200001;3.8194444;14.707979;6.4796357;3.1028841;4.14358;5;1;1;0;2.7639999;-3.03496;8.8037376;0;1;15;1;3;7;0;0;0;2.2436657;-1.2436658;0.16280092;0.24214409;108.45092;33.825527;24.267014;24.267014;13.399102;29.416998;33.89946;0;0;0;0;0;29.637598;2.503756;0.63674086;0.10725676;0.10725676;0.36325914;0.89274323;0.25600237;190.81049;32.141354;32.141354;108.85692;267.52603;76.715561;0.45454547;0.83333331;0;0;0;0;1;0;0;0;1;0;299.66739;0;0;0;299.66739;0;6;0;3;0;0;1;0.84069997;3.1243138;15.490929;60.294579;20.926258;31.458588;32.897186;0;88.215919;56.605217;33.326015;8.4082203;72.848526;0;4.4107962;17.618162;0;144.82114;36.417187;66.223206;57.040001;0.45137304;5.643856;3.1963587;8.7741117;299.66739;367.94165;27.133842;0;0;0;238.10904;34.424511;27.133842;318.39301;1162;37;120
Cocaine ;0.88;3;O(C(=O)c1ccccc1)C1CC2[NH+](C(CC2)C1C(OC)=O)C;48.897446;0;0;1;2;2;0;6;1;44;0;2;22;15;64.620628;1.4686506;0;0;17;0;0;22;0;1;4;0;0;1.6746829;-2.7691803;-0.51517975;0.62196952;2.9456966;-3.4913709;-0.49723175;0.62859821;2.7849569;-2.5786014;-0.41133916;0.69619137;3.1324246;31.118553;3;0.125;6;46;2;24;1;5;0.20833333;38;0;15.68987;12.950466;10.817472;11.698306;10.613392;7.7868161;5.2490187;6.2828231;4;4;0.8076089;10;1;-0.88314074;-0.37465954;0.073026456;2.9515159;-2.2587693;-0.28336805;0.13246888;2.8408403;-0.63359302;-0.20556659;0.14748652;3.1285348;16.84375;7.2664361;3.4404707;13.780475;5.8843775;2.7654738;3.6858871;5;1;1;0;2.4230001;-2.7077501;8.3405018;0;1;15;1;3;6;0;0;0;2.2409313;-1.2409314;0.16299957;0.24142846;79.042473;33.825527;24.267014;37.86697;13.399102;29.416998;33.89946;0;0;0;0;0;32.141354;0;0.61651045;0.11323003;0.11323003;0.38348952;0.88676995;0.2702595;175.00198;32.141354;32.141354;108.85692;251.71754;76.715561;0.5;1;0;0;0;0;1;0;0;0;1;0;283.85889;0;0;0;283.85889;0;5;0;3;0;0;1;0.4506;3.1243138;15.490929;60.294579;0;31.458588;68.281059;0;88.215919;56.605217;0;7.9465199;72.848526;0;4.4107962;17.618162;0;144.82114;15.490929;68.281059;57.040001;0.46637034;5.5849624;3.1320431;8.6429224;283.85889;349.41418;27.133842;0;0;0;222.30055;34.424511;27.133842;304.366;1021;36;116
Cortisol ;0.5;3;OC1(CCC2C3C(C4(C(=CC(=O)CC4)CC3)C)C(O)CC12C)C(=O)CO;60.973789;0;0;2;3;5;0;0;0;56;3;8;26;19;74.156853;1.3242295;0;0;21;0;0;30;0;0;5;0;0;1.6778669;-2.938447;-0.53031886;0.5170567;2.9807618;-2.9096453;-0.49202126;0.48807678;3.0161693;-2.6915214;-0.37206146;0.67249793;3.2219138;34.712212;2;0.068965517;0;59;3;29;4;2;0.068965517;56;0;18.905413;15.701743;13.543606;13.905413;12.170505;9.9570475;8.7507658;9.2313471;7;7;0.82953542;12;0;-0.80083954;-0.39306736;0.024856439;3.3575065;-0.9457643;-0.36140192;-0.0054867743;3.400641;-0.53920513;-0.23374221;0.14542703;3.5783954;19.322235;6.25;2.4860198;17.419827;5.6102409;2.2246342;3.7588236;5;3;1;0;1.0140001;-2.9347701;9.6206436;0;1;20;1;4;2;0;0;0;1.2770022;-1.2770022;0.19452335;0.22815825;176.10197;15.808495;0;16.917038;30.516994;0;0;2.2085397;0;0;0;40.700764;27.133842;0;0.68210882;0.22639282;0.2192544;0.31789115;0.77360719;0.098636754;211.03606;70.043144;67.834602;98.351601;239.34451;30.516994;0.5;1;0;0;0;0;1;0;0;0;1;0;309.38766;0;0;0;309.38766;0;6;1;4;0;0;1;1.7816;76.155678;11.375222;54.193081;20.926258;13.232388;3.185575;0;17.643185;132.07884;66.652031;9.5142403;47.724434;76.155678;13.232388;9.6542244;0;149.72202;32.301479;66.652031;94.830002;0.42228913;5.8579812;3.1649306;9.1329422;309.38766;400.49646;27.133842;0;0;0;224.636;16.917038;67.834602;362.466;1425;59;154
Cortisone;0.74000001;3;OC1(CCC2C3C(C4(C(=CC(=O)CC4)CC3)C)C(=O)CC12C)C(=O)CO;59.640205;0;0;2;3;5;0;0;0;54;2;7;26;18;72.309685;1.3390682;0;0;21;0;0;28;0;0;5;0;0;1.6785885;-2.8981068;-0.54734284;0.4278276;2.9666691;-2.8692236;-0.47902787;0.40845791;2.997257;-2.6505721;-0.33916762;0.6336413;3.2082095;33.483795;2;0.068965517;0;57;4;29;4;2;0.068965517;53;0;18.905413;15.585427;13.466255;13.905413;12.170505;9.8036194;8.651413;9.2313471;6;6;0.82953542;12;0;-0.79214954;-0.4119018;0.0012982372;3.3032789;-0.94551897;-0.35479799;-0.0071521001;3.3421454;-0.53901529;-0.23383415;0.15684187;3.5276623;19.322235;6.25;2.4860198;16.786806;5.39779;2.1379578;3.4850638;5;2;1;0;0.44600001;-2.8289599;9.5792351;0;1;20;1;4;2;0;0;0;1.3495913;-1.3495913;0.18406083;0.21937044;158.08495;33.825527;0;16.917038;30.516994;0;0;2.2085397;0;0;0;27.133842;40.700764;0;0.68210882;0.22639282;0.2192544;0.31789115;0.77360719;0.098636754;211.03606;70.043144;67.834602;98.351601;239.34451;30.516994;0.5;1;0;0;0;0;1;0;0;0;1;0;309.38766;0;0;0;309.38766;0;6;1;4;0;0;1;1.9898;50.770454;17.062834;71.586647;20.926258;13.232388;3.185575;0;17.643185;132.07884;66.652031;9.4142599;71.586647;50.770454;13.232388;3.185575;0;149.72202;37.98909;66.652031;91.669998;0.42228913;5.8579812;3.1649306;9.1329422;309.38766;400.49646;40.700764;0;0;0;216.17749;25.375559;67.834602;360.44998;1425;59;154
Creatinine;0.31;3;O=C1N=C(N)N(C1)C;15.809551;1;1;0;0;2;0;0;0;15;1;3;8;2;26.196987;1.7464658;0;0;4;0;0;7;0;3;1;0;0;2.441391;-2.4357994;-0.31677535;0.33232602;2.4712124;-2.645165;-0.23749202;0.31391767;2.2916505;-2.1434391;-0.039977357;0.37391925;2.7524686;11.250449;0;0;0;15;2;8;1;0;0;13;0;6.1462646;4.5871325;2.7071068;2.8618073;3.6983774;2.2806144;0.35355338;0.40824831;0;0;0.89582068;4;0;-0.84663355;-0.40687478;0.03552964;2.0142267;-1.3706009;-0.37445402;-0.0066;1.8701049;-0.49571523;-0.12778342;0.070483848;2.2776854;6.125;2.0826447;1.25;4.0510721;1.2822959;0.7218793;0.64933419;4;2;1;0;-0.39399999;-0.23525;2.7928338;0;1;5;1;1;0;0;0;0;0.8556329;-0.8556329;0.32848158;0.35835668;0;0;33.89946;20.299505;0;28.631105;0;0;0;17.742489;5.6825762;0;13.566921;0;0.64782757;0.30872434;0.11322557;0.35217243;0.69127566;0.23894687;77.624031;36.991985;13.566921;42.198025;82.83007;28.631105;0.25;0.33333334;0;0;0;0;1;0;0;0;1;0;119.82206;0;0;0;119.82206;0;3;0;1;0;0;1;-1.2269;32.897186;10.28219;23.862217;18.439579;0;49.682716;0;0;0;0;2.92594;23.862217;19.909843;0;0;32.897186;0;25.597454;32.897186;58.689999;0.8112781;4;1.8178823;5.6744361;119.82206;118.3987;19.249496;0;0;17.742489;54.198967;28.631105;36.991985;113.12;59;7;38
